row,product_name,missing_files,expected_count,missing_count
4,Apple iPad Air 13 M4 Wi-Fi 256GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_starlight_2-up_print__usen.jpg,1,1
5,Starlight,ipad_air_13-inch_m4_chip_wi-fi_starlight_2-up_print__usen.jpg,1,1
6,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
7,Xiaomi 17 5G 12GB+512GB בצבע שחור,"xiaomi-17-black-1.jpg, xiaomi-17-black-2.jpg, xiaomi-17-black-3.jpg, xiaomi-17-black-4.jpg",4,4
10,Xiaomi 17 Ultra 5G 12GB+512GB בצבע שחור,"xiaomi-17-ultra-black-1.jpg, xiaomi-17-ultra-black-2.jpg, xiaomi-17-ultra-black-3.jpg, xiaomi-17-ultra-black-4.jpg",4,4
11,Samsung Galaxy A57 5G 128GB,"sm-a576_galaxya57_5g_front_awesomeicyblue.jpg, sm-a576_galaxya57_5g_front2_awesomeicyblue.jpg, sm-a576_galaxya57_5g_frontl30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_frontr30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_back_awesomeicyblue.jpg, sm-a576_galaxya57_5g_backl30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_backr30_awesomeicyblue.jpg",7,7
12,S-103447,sm-a576_galaxya57_5g_front_awesomeicyblue.jpg,1,1
13,S-103446,sm-a576_galaxya57_5g_front_awesomegray.jpg,1,1
14,S-103445,sm-a576_galaxya57_5g_front_awesomenavy.jpg,1,1
15,Re-New | טלפון סלולרי Samsung Galaxy S24 Plus 5G 256GB,"sm-s921_galaxys24_front_marblegray_231110.jpg, sm-s921_galaxys24_backl30_marblegray_231110.jpg, sm-s921_galaxys24_backr30_marblegray_231110.jpg, sm-s921_galaxys24_back_marblegray_231110.jpg, sm-s921_galaxys24_front2_marblegray_231110.jpg, sm-s921_galaxys24_frontl30_marblegray_231110.jpg, sm-s921_galaxys24_frontr30_marblegray_231110.jpg",7,7
16,טלפון סלולרי Samsung Galaxy S24 Plus 5G 256GB Marble Gray,"sm-s921_galaxys24_front_marblegray_231110.jpg, sm-s921_galaxys24_backl30_marblegray_231110.jpg, sm-s921_galaxys24_backr30_marblegray_231110.jpg, sm-s921_galaxys24_back_marblegray_231110.jpg, sm-s921_galaxys24_front2_marblegray_231110.jpg, sm-s921_galaxys24_frontl30_marblegray_231110.jpg, sm-s921_galaxys24_frontr30_marblegray_231110.jpg",7,7
17,Samsung Galaxy A36 כיסוי שקוף מקורי,300x300.png,1,1
18,שקוף,300x300.png,1,1
19,מחשב נייד Asus Laptop Vivobook BQ241W CORE 5,"resources.jpg, resources-1.jpg",2,2
20,S-103629,"resources.jpg, resources-1.jpg",2,2
27,מחשב נייד Asus Laptop Vivobook BQ407W CORE 5,"resources.jpg, resources-1.jpg",2,2
28,S-103626,"resources.jpg, resources-1.jpg",2,2
31,מחשב נייד Asus Laptop Vivobook BQ026W CORE 5,"resources.jpg, resources-1.jpg",2,2
32,S-103628,"resources.jpg, resources-1.jpg",2,2
36,Apple AirTag 2nd Generation - ארבע יחידות,"airtag_white_4-up_print__usen.png, airtag_pdp_image_position-1__wwen.jpg, airtag_pdp_image_position-2__wwen.jpg, airtag_pdp_image_position-6__wwen.jpg, airtag_white_2-up_screen__usen.tif, airtag_white_34f_screen__usen.tif, airtag_white_pure_back_print__usen.tif, airtag_white_pure_front_print__usen.tif, airtag_white_pure_side_print__usen.tif, iphone_12_black_airtag_pure_front_2-up_print__wwen.tif",10,10
37,לבן,"airtag_white_4-up_print__usen.png, airtag_pdp_image_position-1__wwen.jpg, airtag_pdp_image_position-2__wwen.jpg, airtag_pdp_image_position-6__wwen.jpg, airtag_white_2-up_screen__usen.tif, airtag_white_34f_screen__usen.tif, airtag_white_pure_back_print__usen.tif, airtag_white_pure_front_print__usen.tif, airtag_white_pure_side_print__usen.tif, iphone_12_black_airtag_pure_front_2-up_print__wwen.tif",10,10
38,Apple iPad Air 11 M4 Wi-Fi 256GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
39,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
40,Apple iPad Air 13 M4 5G 128GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
41,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
42,ICNZ - מגן מסך זכוכית לסדרת - Galaxy S26,blank-glass-iphone.jpg,1,1
43,Galaxy S26,blank-glass-iphone.jpg,1,1
44,Galaxy S26 Ultra,blank-glass-iphone.jpg,1,1
45,Galaxy S26 Plus,blank-glass-iphone.jpg,1,1
46,Apple iPad Air 11 M4 Wi-Fi 128GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
47,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
48,טאבלט Redmi Pad 2 Pro Wifi 8GB+256GB,"redmi_pad_2_pro___wifi_grey.jpg, redmi_pad_2_pro__0000_p83_wifi_grey-back.jpg, redmi_pad_2_pro__0001_p83_wifi_grey_top.jpg, redmi_pad_2_pro__0002_p83_wifi_grey_right.jpg, redmi_pad_2_pro__0003_p83_wifi_grey_left.jpg, redmi_pad_2_pro__0004_p83_wifi_grey_frontright45.jpg, redmi_pad_2_pro__0005_p83_wifi_grey_frontleft45.jpg, redmi_pad_2_pro__0007_p83_wifi_grey_front.jpg, redmi_pad_2_pro__0008_p83_wifi_grey_buttom.jpg, redmi_pad_2_pro__0009_p83_wifi_grey_backright45.jpg, redmi_pad_2_pro__0010_p83_wifi_grey_backleft45.jpg",11,11
49,אייר תג - Apple AirTag 2nd Generation - יחידה אחת,"airtag_pdp_image_position-1__wwen.jpg, airtag_pdp_image_position-2__wwen.jpg, airtag_pdp_image_position-6__wwen.jpg, airtag_white_2-up_screen__usen.tif, airtag_white_34f_screen__usen.tif, airtag_white_pure_back_print__usen.tif, airtag_white_pure_front_print__usen.tif, airtag_white_pure_side_print__usen.tif, iphone_12_black_airtag_pure_front_2-up_print__wwen.tif",9,9
50,לבן,"airtag_pdp_image_position-1__wwen.jpg, airtag_pdp_image_position-2__wwen.jpg, airtag_pdp_image_position-6__wwen.jpg, airtag_white_2-up_screen__usen.tif, airtag_white_34f_screen__usen.tif, airtag_white_pure_back_print__usen.tif, airtag_white_pure_front_print__usen.tif, airtag_white_pure_side_print__usen.tif, iphone_12_black_airtag_pure_front_2-up_print__wwen.tif",9,9
51,Apple iPad Air 11 M4 5G 128GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
52,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
53,Xiaomi 17 5G 12GB+512GB בצבע כחול,"xiaomi-17-blue-1.jpg, xiaomi-17-blue-2.jpg, xiaomi-17-blue-3.jpg, xiaomi-17-blue-4.jpg",4,4
54,Xiaomi 17 Ultra 5G 12GB+512GB בצבע לבן,"xiaomi-17-ultra-white-1.jpg, xiaomi-17-ultra-white-2.jpg, xiaomi-17-ultra-white-3.jpg, xiaomi-17-ultra-white-4.jpg",4,4
55,Apple iPad Air 13 M4 Wi-Fi 128GB - טאבלט,ipad_air_13-inch_m4_chip_wi-fi_starlight_2-up_print__usen.jpg,1,1
56,Space Grey,ipad_air_13-inch_m4_chip_wi-fi_space_gray_2-up_print__usen.jpg,1,1
57,Starlight,ipad_air_13-inch_m4_chip_wi-fi_starlight_2-up_print__usen.jpg,1,1
58,Kit 360 - לiPhone 16e/17e מגן מסך וכיסוי,kit.jpg,1,1
59,S-97953,kit.jpg,1,1
60,Apple Watch SE 3 GPS + Cellular 40mm,"apple_-2.jpg, apple_-4.jpg, apple_-4.jpg, d286c12f.jpg, 82f0f1dc.jpg, apple_-3.jpg, 491d8c6a.jpg, apple_-1.jpg, 2245fccf.jpg, apple_-2.jpg",10,10
61,Midnight Aluminium Case with Midnight Sport Band - M/L S-100661,apple_-4.jpg,1,1
62,Starlight Aluminium Case with Starlight Sport Band - S/M S-100658,apple_-2.jpg,1,1
63,Starlight Aluminium Case with Starlight Sport Band - M/L  S-100659,apple_-2.jpg,1,1
64,Midnight Aluminium Case with Midnight Sport Band - S/M S-100660,apple_-4.jpg,1,1
67,Samsung Galaxy A57 5G 256GB,"sm-a576_galaxya57_5g_front_awesomeicyblue.jpg, sm-a576_galaxya57_5g_front2_awesomeicyblue.jpg, sm-a576_galaxya57_5g_frontl30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_frontr30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_back_awesomeicyblue.jpg, sm-a576_galaxya57_5g_backl30_awesomeicyblue.jpg, sm-a576_galaxya57_5g_backr30_awesomeicyblue.jpg",7,7
68,S-103451,sm-a576_galaxya57_5g_front_awesomeicyblue.jpg,1,1
69,S-103450,sm-a576_galaxya57_5g_front_awesomegray.jpg,1,1
70,S-103449,sm-a576_galaxya57_5g_front_awesomenavy.jpg,1,1
71,שואב אבק רובוטי Roborock Saros 20 Complete,photoshopextension_image-2.png,3,1
72,BLACK,photoshopextension_image-2.png,3,1
73,אייפון Apple iPhone 17e 256GB,"iphone_17e_black_pdp_image_position_1__en-ww.jpg, iphone_17e_black_pdp_image_position_1b__en-ww.jpg, iphone_17e_black_pdp_image_position_2__en-ww.jpg, iphone_17e_black_pdp_image_position_3__en-ww.jpg, iphone_17e_black_pdp_image_position_4__en-ww.jpg, iphone_17e_black_pdp_image_position_5__en-ww.jpg, iphone_17e_black_pdp_image_position_7__en-ww.jpg",7,7
74,White,iphone_17e_white_pdp_image_position_1_b2b__en-ww.jpg,1,1
75,Black,"iphone_17e_black_pdp_image_position_1__en-ww.jpg, iphone_17e_black_pdp_image_position_1b__en-ww.jpg, iphone_17e_black_pdp_image_position_2__en-ww.jpg, iphone_17e_black_pdp_image_position_3__en-ww.jpg, iphone_17e_black_pdp_image_position_4__en-ww.jpg, iphone_17e_black_pdp_image_position_5__en-ww.jpg, iphone_17e_black_pdp_image_position_7__en-ww.jpg",7,7
76,Soft Pink,iphone_17e_soft_pink_pdp_image_position_1_b2b__en-ww_2.jpg,1,1
77,מחשב נייד Asus Laptop Vivobook BQ025W CORE 5,"resources.jpg, resources-1.jpg",2,2
78,S-103627,"resources.jpg, resources-1.jpg",2,2
83,Samsung Galaxy A56 כיסוי שקוף מקורי,300x300.png,1,1
84,שקוף,300x300.png,1,1
91,Samsung Galaxy A37 5G 256GB,"sm-a376_galaxya37_5g_front_awesomecharcoal.jpg, sm-a376_galaxya37_5g_front2_awesomecharcoal.jpg, sm-a376_galaxya37_5g_frontl30_awesomecharcoal.jpg, sm-a376_galaxya37_5g_frontr30_awesomecharcoal.jpg, sm-a376_galaxya37_5g_backl30_awesomecharcoal.jpg, sm-a376_galaxya37_5g_backr30_awesomecharcoal.jpg",6,6
92,S-103442,sm-a376_galaxya37_5g_front_awesomecharcoal.jpg,1,1
93,S-103444,sm-a376_galaxya37_5g_front_awesomewhite.jpg,1,1
94,מחשב נייד Asus Laptop Vivobook BQ246W CORE 5,"resources.jpg, resources-1.jpg",2,2
95,S-103630,"resources.jpg, resources-1.jpg",2,2
96,Apple Watch 11 GPS 42mm,"apple_-4.jpg, fdbe48b4.jpg, apple_-3.jpg, 7bc3d4d7.jpg, aae8e220.jpg, 27e3f536.jpg, apple_-2.jpg, apple_-1.jpg",8,8
97,Jet Black Aluminium Case with Black Sport Band - S/M - S-100666,apple_-4.jpg,1,1
98,Space Grey Aluminium Case with Black Sport Band - M/L S-100672,apple_-3.jpg,1,1
99,Rose Gold Aluminium Case with Light Blush Sport Band - S/M S-100673,apple_-3.jpg,1,1
100,Jet Black Aluminium Case with Black Sport Band - M/L  S-100667,apple_-4.jpg,1,1
101,Space Grey Aluminium Case with Black Sport Band - S/M S-100669,apple_-3.jpg,1,1
102,Apple Watch 11 GPS + Cellular 42mm,"apple_-3.jpg, 4034ed7a.jpg, apple_-3.jpg, 7bc3d4d7.jpg, aae8e220.jpg, 27e3f536.jpg, apple_-2.jpg, apple_-1.jpg",8,8
103,Rose Gold Aluminium Case with Light Blush Sport Band - S/M S-100679,apple_-3.jpg,1,1
104,Jet Black Aluminium Case with Black Sport Band - S/M - S-100677,apple_-4.jpg,1,1
105,Space Grey Aluminium Case with Black Sport Band - S/M  S-100678,apple_-3.jpg,1,1
106,Apple Watch 11 GPS 46mm,"apple_-3.jpg, c918e097.jpg, apple_-2.jpg, apple_-3.jpg, 7bc3d4d7.jpg, aae8e220.jpg, 27e3f536.jpg, apple_-1.jpg",8,8
107,Space Grey Aluminium Case with Black Sport Band - M/L S-100676,apple_-3.jpg,1,1
108,Jet Black Aluminium Case with Black Sport Band - M/L  S-100675,apple_-4.jpg,1,1
109,Jet Black Aluminium Case with Black Sport Band - S/M - S-100674,apple_-4.jpg,1,1
110,Apple Watch 11 GPS + Cellular 46mm,"apple_-4.jpg, fdbe48b4.jpg, apple_-2.jpg, apple_-3.jpg, 7bc3d4d7.jpg, aae8e220.jpg, 27e3f536.jpg, apple_-1.jpg",8,8
111,Jet Black Aluminium Case with Black Sport Band - M/L  S-100682,apple_-4.jpg,1,1
112,Jet Black Aluminium Case with Black Sport Band - S/M - S-100681,apple_-4.jpg,1,1
113,Apple Watch Ultra 3 GPS + Cellular 49mm,"019cb481.jpg, apple_-1.jpg, d9cdf7ca.jpg, 1caedbcf.jpg, apple_-2.jpg, apple_-3.jpg",6,6
114,Black Titanium - Black Titanium Milanese Loop (S) S-100693,f6ab750b.jpg,1,1
115,Natural Titanium with Titanium Milanese Loop - S S-100688,apple_-2.jpg,1,1
116,Natural Titanium with Titanium Milanese Loop - M S-100689,apple_-2.jpg,1,1
117,Black Titanium with Black Alpine Loop - Medium S-100692,019cb481.jpg,1,1
118,Natural Titanium with Light Blue Alpine Loop - M S-100687,apple_-2.jpg,1,1
119,Black Titanium - Black Titanium Milanese Loop (M) S-100694,f6ab750b.jpg,1,1
120,Black Titanium with Black Ocean Band S-100690,179ee426.jpg,1,1
121,Black Titanium with Black Alpine Loop - Small S-100691,019cb481.jpg,1,1
122,Natural Titanium Case with Anchor Blue Ocean Band S-100686,apple_-3.jpg,1,1
128,Otterbox iPhone 17 Series Symmetry Clear MagSafe,"iphone17-symmetry-clear_clear-d_pkg.jpg, iphone-air-symmetry-clear_clear-d_pkg.jpg, iphone-17-pro-symmetry-clear_clear-d_pkg.jpg, iphone-17-pro-max-symmetry-clear_clear-d_pkg.jpg",4,4
129,iPhone 17,iphone17-symmetry-clear_clear-d_pkg.jpg,1,1
130,iPhone 17 Pro Max,iphone-17-pro-max-symmetry-clear_clear-d_pkg.jpg,1,1
131,iPhone Air,iphone-air-symmetry-clear_clear-d_pkg.jpg,1,1
132,iPhone 17 Pro,iphone-17-pro-symmetry-clear_clear-d_pkg.jpg,1,1
133,Otterbox iPhone 17 Series Symmetry Stardust Clear MagSafe,"iphone-17-pro-max-symmetry-clear_stardust-d_pkg.jpg, iphone-17-pro-symmetry-clear_stardust-d_pkg.jpg, iphone-air-symmetry-clear_stardust-d_pkg.jpg, iphone17-symmetry-clear_stardust-d_pkg.jpg",4,4
134,iPhone 17,iphone17-symmetry-clear_stardust-d_pkg.jpg,1,1
135,iPhone 17 Pro,iphone-17-pro-symmetry-clear_stardust-d_pkg.jpg,1,1
136,iPhone 17 Pro Max,iphone-17-pro-max-symmetry-clear_stardust-d_pkg.jpg,1,1
137,Otterbox iPhone 17 Series Symmetry MagSafe Black,"iphone-17-pro-symmetry-black-d_pkg.jpg, iphone17-symmetry-black-d_pkg.jpg, iphone-air-symmetry-black-d_pkg.jpg, iphone-17-pro-max-symmetry-black-d_pkg.jpg",4,4
138,iPhone 17,iphone17-symmetry-black-d_pkg.jpg,1,1
139,iPhone 17 Pro,iphone-17-pro-symmetry-black-d_pkg.jpg,1,1
140,iPhone 17 Pro Max,iphone-17-pro-max-symmetry-black-d_pkg.jpg,1,1
141,iPhone Air,iphone-air-symmetry-black-d_pkg.jpg,1,1
142,Otterbox iPhone 17 Series React Clear MagSafe,"iphone-17-pro-react_clear-pkg.jpg, iphone-air-react_clear-pkg.jpg, iphone-17-react_clear-pkg.jpg",3,3
143,iPhone 17,iphone-17-react_clear-pkg.jpg,1,1
144,iPhone Air,iphone-air-react_clear-pkg.jpg,1,1
145,iPhone 17 Pro,iphone-17-pro-react_clear-pkg.jpg,1,1
